URL,Page Type,Clicks,Impressions,CTR,Position,GA4 Views,Store Clicks,Rakuten Clicks,Classification,Recommended Action,HTTP Status,Technical SEO
https://sillage.asutelu.com/en/brands/chanel/,Brand detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/brands/dior/,Brand detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/brands/,Brand index,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/brands/jo-malone-london/,Brand detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/brands/le-labo/,Brand detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/brands/prada/,Brand detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/brands/tom-ford/,Brand detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/aesop/tacit-eau-de-parfum/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/chanel/antaeus-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/chanel/bleu-de-chanel-eau-de-parfum/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/chanel/chance-eau-tendre-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/chanel/platinum-egoiste-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/chanel/pour-monsieur-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/creed/aventus/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/dior/eau-sauvage-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/dior/fahrenheit-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/dior/jadore-eau-de-parfum/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/dior/sauvage-eau-de-parfum/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/dior/sauvage-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/dior/sauvage-elixir/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/diptyque/tam-dao-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/,Fragrance index,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/jo-malone-london/english-pear-and-freesia-cologne/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/jo-malone-london/lime-basil-and-mandarin-cologne/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/jo-malone-london/peony-and-blush-suede-cologne/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/jo-malone-london/wood-sage-and-sea-salt-cologne/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/le-labo/another-13/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/le-labo/santal-33/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/maison-margiela/replica-jazz-club/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/prada/lhomme-prada-eau-de-toilette/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/prada/prada-candy-eau-de-parfum/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/tom-ford/black-orchid-eau-de-parfum/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/fragrances/tom-ford/oud-wood-eau-de-parfum/,Fragrance detail,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/guides/best-japanese-perfume-brands/,Guide,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/guides/perfume-shopping-kyoto/,Guide,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/guides/perfume-shopping-osaka/,Guide,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/guides/perfume-shopping-tokyo/,Guide,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/guides/tax-free-perfume-shopping-japan/,Guide,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
https://sillage.asutelu.com/en/,English home,,,,,,,,No Data,Await 28 days of GSC/GA4 data before content changes,200,pass
