slug,brand,name,sourceType,market,publisher,title,url,accessedAt,supports
dior-5,Dior,ソヴァージュ エリクシール,official,US,Dior,Sauvage Elixir,https://www.dior.com/en_us/beauty/products/sauvage-elixir-Y0996460.html,2026-07-18,concentration / sizes / notes
ysl-4,YSL,ラ ニュイ ドゥ ロム,official,US,YSL Beauty,La Nuit de L'Homme Eau de Toilette,https://www.yslbeautyus.com/fragrance/mens-fragrances/la-nuit-de-lhomme/la-nuit-de-lhomme-eau-de-toilette-spray/426YSL.html,2026-07-18,concentration / sizes / notes
viktor-rolf-2,Viktor&Rolf,スパイスボム,official,US,Viktor&Rolf,Spicebomb Eau de Toilette,https://us.viktor-rolf.com/fragrance/spicebomb-eau-de-toilette-VKR_030.html,2026-07-18,concentration / sizes / notes
dolce-gabbana-2,Dolce&Gabbana,ザ ワン フォー メン,official,US,Dolce&Gabbana,The One for Men Eau de Toilette 100ml,https://www.dolcegabbana.com/en-us/beauty/perfumes-for-him/the-one-for-men/the-one-for-men-edt-100ml---158057971180509.html?keeplocale=true,2026-07-18,concentration / sizes / notes
azzaro-3,Azzaro,ワンテッド,official,GLOBAL,Azzaro,Azzaro Wanted Eau de Toilette,https://www.azzaro.com/en/fragrances/azzaro-wanted/eau-de-toilette,2026-07-18,concentration / sizes / notes
maison-francis-kurkdjian-1,Maison Francis Kurkdjian,バカラ ルージュ 540,official,JP,Baccarat,Baccarat Rouge 540 Eau de Parfum 70 ml,https://www.baccarat.com/en_jp/fragrance/all-fragrance/perfumes/baccarat-rouge-540-eau-de-parfum-70-ml-2810839.html,2026-07-18,concentration / sizes / notes
versace-3,Versace,エロス フレイム,official,US,Versace,Eros Flame Eau de Parfum,https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros-flame/eros-flame-edp-100-ml-red/R741010-R100MLS_RNUL.html,2026-07-18,concentration / sizes / notes
dior-6,Dior,ファーレンハイト,official,JP,Dior,ファーレンハイト オードゥ トワレ,https://www.dior.com/ja_jp/beauty/products/%E3%83%95%E3%82%A1%E3%83%BC%E3%83%AC%E3%83%B3%E3%83%8F%E3%82%A4%E3%83%88-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-F006624009.html,2026-07-18,concentration / sizes / notes
giorgio-armani-2,Giorgio Armani,アルマーニ コード,official,US,Giorgio Armani Beauty,Armani Code Fragrances,https://www.giorgioarmanibeauty-usa.com/fragrances/mens-cologne/armani-code/,2026-07-18,concentration / sizes
le-labo-1,Le Labo,サンタル 33,official,JP,LE LABO,SANTAL 33,https://www.lelabofragrances.jp/products/santal-33_144,2026-07-18,concentration / sizes / notes
prada-2,Prada,ルオム,official,GLOBAL,Prada Beauty,L'Homme Prada Eau de Toilette,https://www.prada-beauty.com/fragrance/lhomme-prada/lhomme-prada-eau-de-toilette/MPL01352.html,2026-07-18,concentration / sizes / notes
john-varvatos-1,John Varvatos,アーティザン,official,US,John Varvatos,Artisan 4.2 oz,https://www.johnvarvatos.com/accessories/fragrance/artisan-4.2-oz/873824001184.html,2026-07-18,sizes / notes
montblanc-2,Montblanc,エクスプローラー,official,US,Montblanc,Explorer Eau de Parfum 100 ml,https://www.montblanc.com/en-us/explorer-eau-de-parfum-100-ml-MB124069.html,2026-07-18,concentration / sizes / notes
jo-malone-4,Jo Malone,ウッドセージ & シーソルト,official,JP,Jo Malone London,ウッド セージ & シー ソルト コロン,https://www.jomalone.jp/product/25946/32241/colognes/wood-sage-sea-salt-cologne,2026-07-18,concentration / sizes / notes
hugo-boss-1,Hugo Boss,ボス ボトルド,official,US,HUGO BOSS,BOSS Bottled Eau de Toilette 100 ml,https://www.hugoboss.com/us/boss-bottled-eau-de-toilette-100-ml/hbna58000026_999.html,2026-07-18,concentration / sizes / notes
